kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
7.932,0.05959429000751315,2018,4,25,11,8,4,2018,4,25,13,21,10
10.013,0.05591251744997673,2018,4,25,13,45,10,2018,4,25,16,44,15
5.257,0.07977238239757206,2018,4,25,13,45,50,2018,4,25,14,51,44
5.177,0.05865181268882175,2018,4,25,14,37,6,2018,4,25,16,5,22
10.119,0.056237495368655056,2018,4,25,14,40,34,2018,4,25,17,40,30
7.91,0.08358576963719619,2018,4,25,14,43,50,2018,4,25,16,18,28
15.294,0.06951818181818183,2018,4,25,14,47,42,2018,4,25,18,27,42
6.953,0.06317080557238038,2018,4,25,14,58,25,2018,4,25,16,48,29
2.174,0.03809579439252336,2018,4,25,15,10,52,2018,4,25,16,7,56
2.439,0.01230885692657078,2018,4,25,15,12,11,2018,4,25,18,30,20
6.955,0.03490881713234064,2018,4,25,15,14,6,2018,4,25,18,33,20
3.249,0.051165354330708665,2018,4,25,15,14,41,2018,4,25,16,18,11
2.72,0.03119862359013573,2018,4,25,15,14,49,2018,4,25,16,42,0
2.575,0.05508021390374332,2018,4,25,15,20,56,2018,4,25,16,7,41
5.4,0.026414479047774338,2018,4,25,15,30,31,2018,4,25,18,54,57
4.929,0.028125534950071328,2018,4,25,15,31,42,2018,4,25,18,26,57
4.043,0.029724298492831758,2018,4,25,15,33,45,2018,4,25,17,49,46
2.49,0.021567778258986574,2018,4,25,15,44,42,2018,4,25,17,40,9
5.95,0.043204647222558394,2018,4,25,15,48,23,2018,4,25,18,6,6
4.474,0.035644668702695524,2018,4,25,15,51,21,2018,4,25,17,56,52
6.531,0.027013649524334757,2018,4,25,15,53,29,2018,4,25,19,55,15
6.023,0.04133363833924282,2018,4,25,15,57,29,2018,4,25,18,23,12
9.553,0.06464922174599594,2018,4,25,15,59,24,2018,4,25,18,27,10
14.693,0.029813324315184308,2018,4,25,16,1,26,2018,4,26,0,14,16
2.207,0.030497466605251038,2018,4,25,16,2,3,2018,4,25,17,14,25
9.153,0.04450044566890852,2018,4,25,16,2,10,2018,4,25,19,27,51
17.446,0.04640099295181524,2018,4,25,16,3,59,2018,4,25,22,19,58
4.548,0.03532427184466019,2018,4,25,16,4,31,2018,4,25,18,13,16
32.708,0.08965189584285062,2018,4,25,16,25,51,2018,4,25,22,30,41
6.764,0.051964148527528814,2018,4,25,16,38,1,2018,4,25,18,48,11
