kWhDelivered,effective_charging_duration_min,post_charge_duration_min,total_session_duration_min,kWh_per_min_total_session,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,disconnectTime_year,disconnectTime_month,disconnectTime_day,disconnectTime_hour,disconnectTime_min,disconnectTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
7.932,133.1,-1.0,132.1,0.060045420136260415,0.05959429000751315,2018,4,25,11,8,4,2018,4,25,13,20,10,2018,4,25,13,21,10
10.013,179.08333333333334,492.01666666666665,671.1,0.014920280137088363,0.05591251744997673,2018,4,25,13,45,10,2018,4,26,0,56,16,2018,4,25,16,44,15
5.257,65.9,493.01666666666665,558.9166666666666,0.009405695541971074,0.07977238239757206,2018,4,25,13,45,50,2018,4,25,23,4,45,2018,4,25,14,51,44
5.177,88.26666666666667,470.2,558.4666666666667,0.009270025068640324,0.05865181268882175,2018,4,25,14,37,6,2018,4,25,23,55,34,2018,4,25,16,5,22
10.119,179.93333333333334,322.7,502.6333333333333,0.020131971616154917,0.056237495368655056,2018,4,25,14,40,34,2018,4,25,23,3,12,2018,4,25,17,40,30
7.91,94.63333333333334,539.0333333333333,633.6666666666666,0.012482903734876382,0.08358576963719619,2018,4,25,14,43,50,2018,4,26,1,17,30,2018,4,25,16,18,28
15.294,220.0,0.15,220.15,0.06947081535316829,0.06951818181818183,2018,4,25,14,47,42,2018,4,25,18,27,51,2018,4,25,18,27,42
6.953,110.06666666666666,138.0,248.06666666666666,0.028028755710830425,0.06317080557238038,2018,4,25,14,58,25,2018,4,25,19,6,29,2018,4,25,16,48,29
2.174,57.06666666666667,127.83333333333333,184.9,0.011757706868577609,0.03809579439252336,2018,4,25,15,10,52,2018,4,25,18,15,46,2018,4,25,16,7,56
2.439,198.15,-0.9833333333333333,197.16666666666666,0.01237024513947591,0.01230885692657078,2018,4,25,15,12,11,2018,4,25,18,29,21,2018,4,25,18,30,20
