kWhDelivered,kWh_per_min_effective_charging,connectionTime_year,connectionTime_month,connectionTime_day,connectionTime_hour,connectionTime_min,connectionTime_sec,doneChargingTime_year,doneChargingTime_month,doneChargingTime_day,doneChargingTime_hour,doneChargingTime_min,doneChargingTime_sec
7.784,0.19958974358974357,2018,1,1,7,30,0,2018,1,1,8,9,0
12.672,0.08739310344827586,2018,1,1,8,33,0,2018,1,1,10,58,0
1.406,0.1278181818181818,2018,1,1,9,48,0,2018,1,1,9,59,0
0.642,0.12840000000000001,2018,1,1,10,16,0,2018,1,1,10,21,0
12.512,2.0853333333333333,2018,1,1,11,44,0,2018,1,1,11,50,0
9.03,0.12202702702702702,2018,1,1,11,52,0,2018,1,1,13,6,0
20.509,0.07485036496350365,2018,1,1,12,35,0,2018,1,1,17,9,0
5.397,0.3174705882352941,2018,1,1,13,1,0,2018,1,1,13,18,0
23.558,0.08123448275862069,2018,1,1,14,57,0,2018,1,1,19,47,0
6.212,0.3106,2018,1,1,15,34,0,2018,1,1,15,54,0
5.421,0.28531578947368424,2018,1,1,16,31,0,2018,1,1,16,50,0
1.587,0.10579999999999999,2018,1,1,17,22,0,2018,1,1,17,37,0
5.926,0.09876666666666667,2018,1,1,17,55,0,2018,1,1,18,55,0
38.52448,0.08110416842105263,2018,1,1,17,59,0,2018,1,2,1,54,0
22.052,3.1502857142857144,2018,1,1,19,40,0,2018,1,1,19,47,0
0.619,0.0619,2018,1,1,19,51,0,2018,1,1,20,1,0
8.648,0.06266666666666666,2018,1,1,21,15,0,2018,1,1,23,33,0
1.281,0.2562,2018,1,1,21,26,0,2018,1,1,21,31,0
13.775,0.1076171875,2018,1,1,21,42,0,2018,1,1,23,50,0
0.633,0.1266,2018,1,1,21,57,0,2018,1,1,22,2,0
10.333,0.08469672131147542,2018,1,1,23,6,0,2018,1,2,1,8,0
1.049,0.06170588235294117,2018,1,1,23,40,0,2018,1,1,23,57,0
1.196,0.09966666666666667,2018,1,2,0,28,0,2018,1,2,0,40,0
8.926,0.35704,2018,1,2,1,45,0,2018,1,2,2,10,0
1.137,0.142125,2018,1,2,2,2,0,2018,1,2,2,10,0
0.922,0.11525,2018,1,2,2,21,0,2018,1,2,2,29,0
5.666,0.07264102564102565,2018,1,2,3,15,0,2018,1,2,4,33,0
14.212,2.8424,2018,1,2,3,33,0,2018,1,2,3,38,0
4.643,0.10797674418604651,2018,1,2,3,40,0,2018,1,2,4,23,0
1.388,0.27759999999999996,2018,1,2,5,57,0,2018,1,2,6,2,0
10.156,0.11284444444444446,2018,1,2,7,40,0,2018,1,2,9,10,0
18.675,0.08767605633802818,2018,1,2,7,40,0,2018,1,2,11,13,0
6.662,0.08224691358024691,2018,1,2,9,29,0,2018,1,2,10,50,0
12.774,0.06025471698113207,2018,1,2,10,13,0,2018,1,2,13,45,0
8.692,0.07183471074380166,2018,1,2,11,34,0,2018,1,2,13,35,0
0.704,0.046933333333333334,2018,1,2,13,2,0,2018,1,2,13,17,0
1.094,0.1562857142857143,2018,1,2,16,4,0,2018,1,2,16,11,0
0.572,0.11439999999999999,2018,1,2,16,10,0,2018,1,2,16,15,0
2.418,0.09672,2018,1,2,17,17,0,2018,1,2,17,42,0
22.856,0.08528358208955225,2018,1,2,17,39,0,2018,1,2,22,7,0
4.327,0.8654,2018,1,2,19,46,0,2018,1,2,19,51,0
0.958,0.07983333333333333,2018,1,2,20,0,0,2018,1,2,20,12,0
0.59,0.118,2018,1,2,21,11,0,2018,1,2,21,16,0
0.464,0.09280000000000001,2018,1,2,22,27,0,2018,1,2,22,32,0
5.567,0.09435593220338984,2018,1,2,22,49,0,2018,1,2,23,48,0
0.955,0.191,2018,1,3,2,32,0,2018,1,3,2,37,0
1.419,0.23650000000000002,2018,1,3,2,34,0,2018,1,3,2,40,0
11.339,0.11570408163265307,2018,1,3,2,44,0,2018,1,3,4,22,0
22.236,0.1853,2018,1,3,2,48,0,2018,1,3,4,48,0
0.718,0.1436,2018,1,3,3,45,0,2018,1,3,3,50,0
13.258,0.38994117647058824,2018,1,3,4,49,0,2018,1,3,5,23,0
28.632,0.3491707317073171,2018,1,3,4,50,0,2018,1,3,6,12,0
1.389,0.0868125,2018,1,3,6,10,0,2018,1,3,6,26,0
1.197,0.10881818181818183,2018,1,3,6,11,0,2018,1,3,6,22,0
10.03,0.2046938775510204,2018,1,3,6,12,0,2018,1,3,7,1,0
1.41,0.094,2018,1,3,8,8,0,2018,1,3,8,23,0
0.704,0.05415384615384615,2018,1,3,8,8,0,2018,1,3,8,21,0
0.437,0.0874,2018,1,3,8,28,0,2018,1,3,8,33,0
1.873,0.234125,2018,1,3,9,46,0,2018,1,3,9,54,0
2.153,0.0828076923076923,2018,1,3,10,5,0,2018,1,3,10,31,0
0.979,0.13985714285714285,2018,1,3,10,9,0,2018,1,3,10,16,0
2.991,0.05643396226415095,2018,1,3,10,31,0,2018,1,3,11,24,0
